Stkcd,year,Dividend_ratio1,Dividend_ratio2,Dividend_ratio3,Dividend,Managefee_ratio,Manageshare,Indep_ratio,Bgender,Bshare,Bage,Btenure,Bsalary,Equity,Da_abs,Tunneling,Top1,Sharebalance,Minorityrate,Institution,Pledge,Retainedearn_ratio,Freecash2,Tax_avoid,Tax_ratio,Tax_volatility,Constraint,Refinance,Sentiment,Dividend_lag,ROA,Cashflow,Tobinq,BM,Lev,Soe,Growth,Lnsize,Analyst_num,Market_idx,ind1,ind2,ind3,ind4,ind5,ind7,ind8,ind11,ind12,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25,ind26,ind27,ind28,ind29,ind30,ind31,ind32,ind33,ind34,ind35,ind37,ind38,ind39,ind40,ind41,ind42
26,2019,.4103287964646071,2.355639014085451,1.803426510369702,1,.0649585043239976,.2531,.3333333333333333,0,.0004063490861788,3.850147601710058,3.332204510175204,14.49820378587488,0,.0455831705038009,.0125607041132062,36.79,.1229,62.85,37.8867,0,.3197464843853346,.0741194118514374,.0335680907512576,.218383,.0597639783833038,-4.193066,0,-.26038119,.4792650154414537,.0574085132206463,1.004180626877941,1.475902,.677552,.2941787225078041,1,.0893293774092566,22.04793031882429,1.6094379,11.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,2020,.5944861776003331,4.350828047910031,3.573350831146107,1,.0604601762005394,.2619,.3333333333333333,0,.0004204704830644,3.871201010907891,3.688879454113936,14.6039683728739,1,.0817679412840213,.0131641108924334,38.07,.1198,63.21,50.0173,0,.3511131259312963,.0609222719526663,.0414287261614436,.212441,.0183190501882603,-4.2348,0,-.35783204,.4103287964646071,.0731881386362419,.8834797450176356,1.418709,.704866,.3032692605011081,1,.145571960204515,22.11422746445892,2.5649493,11.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,2021,.3295566145308103,3.109422659996563,2.531645569620253,1,.0498932221417947,.3802,.3333333333333333,0,.0002659305951894,3.891820298110626,3.828641396489095,14.42934447307634,0,.0897427562750329,.014974351194097,38.25,.1061,61.93,44.4586,0,.3925126736952637,.0834154747828942,.0462547757147567,.227874,.0167473436162276,-4.275305,0,-.32992411,.5944861776003331,.0943565980257973,1.284468500679432,1.401671,.713434,.26695680965779,1,.2357270515232499,22.13682996316161,2.6390574,12.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,2022,.3915046620375155,2.535908198300881,2.394636015325671,1,.0503007890127359,.3206,.3333333333333333,0,0,3.850147601710058,2.890371757896165,14.40596089436374,0,.0857758749059512,.0138246368591204,39.02,.1676,61.75,39.2523,0,.4261976451490778,.0879922906714464,.0341971518988819,.213611,.0084800768392745,-4.315339,0,-.49160165,.3295566145308103,.0647734102913835,1.140318230896226,1.234816,.809837,.2382040659263654,1,-.1696571066447094,22.13842553467098,2.0794415,12.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,2010,.1569018782723848,.7576533941630587,.9910802775024778,1,.0357935610076405,0,.3333333333333333,.1111111111111111,0,3.891820298110626,3.637586159726386,13.6397287701885,0,.0217961302092111,.0028353840242308,63.74,.1583,27.17999999999999,75.42189999999999,0,.2294722632591392,.0679531460417541,.0409878722404804,.182848,.0249816723359346,-3.712562,0,-.21608919,.3311426407963318,.0555878656048798,1.158332380579139,1.054306,.948491,.4353217864004844,1,.094483178718162,24.09297115091044,2.9957323,9.835000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,2007,0,0,0,0,.0274737223518586,.0039,.3333333333333333,.2222222222222222,0,3.912023005428146,3.58351893845611,0,0,.0169020088007952,.0112688747316703,39.14,.2238,52.68,65.0916,0,.0657803795283092,.0255848487844981,.0214484105166828,.273923,.1070763136258435,-3.702726,0,.021115735,.3574307874994539,.0477335822793221,.3043493410362819,1.947482,.513483,.8218990183524864,1,.2136161967974369,21.79007372988306,2.1972246,9.881,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2020,.3032574027920595,1.7827811266641,1.218487394957983,1,.0579663552147253,.0012,.3333333333333333,.1818181818181818,0,4.204692619390966,4.882801922586371,13.29530945475305,0,.0967955560748108,.0066326911146765,63.55,.0404,36.45,63.9,0,.360436405810372,.2632463074788635,.0089464337727036,.275878,.0126923934307127,-4.237776,0,.34469664,.3021507640751898,.0587335718333657,.2818773235770911,1.614258,.619479,.2592365958824627,1,-.3663498389654848,22.32000683295355,0,11.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,2021,.6455180605194698,3.654992369030037,4.043126684636118,1,.0546859777871112,.1189,.3333333333333333,.1111111111111111,0,4.110873864173311,3.912023005428146,14.7393729523176,1,.03608163888322,.0102482677903986,24.41,1.8099,33.3,74.1349,0,.3749592573283683,.1178767643134201,.0432060441280969,.079917,.0260305743559377,-4.231743,0,-.83472204,.602627868016022,.0523758697679158,.9987920620695131,1.316651,.759503,.4272183218737048,1,.1542974583313542,23.42200104569175,.69314718,8.039999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2022,.903538255809751,2.966360343862504,5.681818181818182,1,.0505334007494907,.0799,.3333333333333333,.1111111111111111,0,4.127134385045092,4.127134385045092,14.28551481220982,0,.0235718078814152,.0104803903292217,24.41,1.8099,33.3,71.2222,0,.3641946198591413,-.0266386954587298,.0314642111650496,-.023701,.0413459571880976,-4.269356,0,-.69501156,.6455180605194698,.0307009075688746,.1556754195626684,.960077,1.041584,.4448701039924521,1,-.0200875169776386,23.44843776641966,.69314718,8.039999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2011,0,0,0,0,.0726791693864901,.0259,.3333333333333333,.1111111111111111,0,4.07753744390572,2.995732273553991,11.28979441357789,0,.0017160173291379,.0137371301180425,42.02,.1713,57.98,48.8046,0,.1825045849991474,-.1127572516313471,.0082029122314992,.323045,.0670582320263516,-3.815185,0,-.40471148,.6501844898489947,.0285109319430235,.1511478582893249,1.298166,.7703179999999999,.4476619017667424,1,.1519763436561019,21.17702453855637,.69314718,9.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,2012,.233405516150365,2.477265968015935,2.465753424657534,1,.0883439380255983,.0217,.3333333333333333,.1111111111111111,0,4.0943445622221,3.465735902799727,11.28979441357789,0,.1832449142314114,.0292061514824138,42.02,.158,57.98,48.1,0,.275935015566673,.1716487433737846,.0471416400535357,.231029,.041426724240519,-3.862459,0,-.44546738,0,.105780748987767,.1093047133626998,1.384929,.722059,.3803349605140298,1,-.1191372791336558,21.249182762417,0,9.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,2020,.1999074214006635,.4065237581937607,.881439888164026,1,.0080144209541107,30.2992,.5714285714285714,.2857142857142857,.2346680095766223,4.07753744390572,4.060443010546419,15.7362202547862,0,.0239313470897357,.0069089102567053,23.47,.9169,56.2,21.3948,18.09,.0602251540381139,.0325932457346885,.0129021542016056,.2507,.0413741011177282,-4.104473,0,.088300161,.1958264716359343,.0203358777842051,2.208924946436357,1.23226,.811517,.846762777761216,0,.0605629323963457,24.14718977727357,2.7080503,11.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,2016,.2539602992329552,3.521434861009297,3.56718192627824,1,.0469242217736893,.6513,.3636363636363636,.5,.001051167586499,4.219507705176107,5.170483995038151,0,0,.1440327625166518,.0036564538838861,31.21,.099,68.76000000000001,35.1487,0,.2100818448162589,.2533834267413188,.0483369294180889,.24441,.1277588812047914,-4.021815,0,.068357453,0,.1391276893304998,1.842003572249383,1.56665,.638305,.5861683257630751,0,3.23106766539221,22.99801470437128,1.6094379,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,2021,.2483473941784449,1.052645292178464,1.566820276497696,1,.039665201922546,.3755,.4285714285714285,.5714285714285714,.0009105391326275,4.158883083359671,3.433987204485146,11.69525535506279,0,.0752995514260409,.0009137952771851,33.21,.1042,66.78999999999999,41.0576,0,.3395098531454734,-.0903410133509654,.0137667319335136,.251698,.0545077536245991,-4.222567,0,-.38714644,.6192317218949568,.0550304785871691,-.0772381246868438,1.044582,.9573199999999999,.3728753160014896,0,-.3042950191662675,22.98357881346599,1.3862944,12.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
39,2008,.2838559752628979,1.155625276944932,2.419354838709677,1,.0351063058112297,.0311,.375,0,0,3.951243718581428,3.044522437723423,0,1,.0330191246287135,.025583642136668,21.8,1.2422,60.71,53.2275,0,.3254689678004685,.0242900146921701,-.0842668556949095,.125491,.0298823651841684,-3.645879,0,-.10977484,.420550096348027,.0487647340924987,1.264476809610591,.939337,1.064581,.5678422592276612,1,-.0293995224773264,24.26590094447969,2.8903718,9.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2012,.0968572251857843,.654861935452284,.7874015748031495,1,.092181600757383,.1185,.3636363636363636,.0909090909090909,0,3.931825632724326,3.761200115693562,11.69525535506279,0,.1303353175041521,.0288452517955311,19.8,.8404,65.31,36.54,48.41,.1364424097702461,-.150469128885397,.0151542107500791,.286915,.0761046461544891,-3.862049,0,-.39833355,.1005692217953617,.067669342918592,-.6786166697832637,1.420679,.703889,.5939184298495974,0,.0532404736031304,21.77700290745705,1.0986123,9.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,2018,.8373432772499414,.3674881387271932,3.211991434689507,1,.3362320570334014,.505,.3333333333333333,.1111111111111111,.0035257884005779,4.219507705176107,3.784189633918261,0,0,.0031685800737828,.0073661891801493,68.48999999999999,.145,32.84999999999999,81.721,1.6,.0401581850787208,.0302000641390384,.0128099908737534,.232739,.0228356654315131,-3.73087,0,.30387238,.2695761723418442,.0048708810169251,1.771784535010074,.980811,1.019564,.865957346797874,0,-.4028115403046156,26.08030798993172,0,9.239000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
49,2014,.1750159483282914,.8779347591641028,.6640106241699867,1,.0332538158029916,0,.3333333333333333,.1111111111111111,0,3.931825632724326,4.804021044733257,13.61584058383568,0,.0725335998859437,.0260478408846136,45.23,.0646,54.32,48.0876,0,.1130374371592653,-.091901297195578,.0296278239085228,.215942,.0158310976246121,-3.917344,0,-.10068117,.132827085036564,.0669178253294582,.7249920464808528,2.125728,.470427,.8035584804932131,1,.4513571191527272,22.26562406454928,2.3025851,10.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
