Stkcd,year,Dividend_ratio1,Dividend_ratio2,Dividend_ratio3,Dividend,Managefee_ratio,Manageshare,Indep_ratio,Bgender,Bshare,Bage,Btenure,Bsalary,Equity,Da_abs,Tunneling,Top1,Sharebalance,Minorityrate,Institution,Pledge,Retainedearn_ratio,Freecash2,Tax_avoid,Tax_ratio,Tax_volatility,Constraint,Refinance,Sentiment,Dividend_lag,ROA,Cashflow,Tobinq,BM,Lev,Soe,Growth,Lnsize,Analyst_num,Market_idx,ind1,ind2,ind3,ind4,ind5,ind7,ind8,ind11,ind12,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25,ind26,ind27,ind28,ind29,ind30,ind31,ind32,ind33,ind34,ind35,ind37,ind38,ind39,ind40,ind41,ind42
695,2008,2.186987424822307,.4507571584428061,.4728132387706856,1,.0325618356959952,.003,.3333333333333333,.2222222222222222,0,4.007333185232471,4.369447852467021,10.12667110305036,0,.0133336452158486,.0002463662202453,38.49,.066,60.53,43.766,0,.0451937576179088,.0271643541165896,.0323499463370259,.257145,.2234582487647301,-3.677108,0,-.12151551,1.118852951953657,.0030604846330033,.3575377977516105,1.388747,.720074,.6218018751895285,1,.2615119077660666,20.70882602558716,0,8.571,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,2009,0,0,0,0,.0359759434275709,.003,.3333333333333333,.2222222222222222,0,4.02535169073515,4.51085950651685,10.12667110305036,0,.1132974033448514,.0073772905753615,37.59,.0756,61.51,42.61,0,-.0067217094992312,-.0137215755753657,-.01996290683685,-.012547,.23626354673542,-3.713568,0,-.42107618,2.186987424822307,-.047830777487861,.0307403708397598,2.055998,.486382,.6640247904566722,1,.1678896676780003,20.68444739717754,.69314718,8.657999999999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,2011,0,0,0,0,.0253779853543851,.003,.3333333333333333,.3333333333333333,0,4.060443010546419,4.663439094112067,10.01686087970381,0,.046144374375877,.0230718982029431,37.3,.0845,62.7,41.0272,0,.0030159367992936,-.0158120193857499,.0274481821348438,.202429,.2142067110694714,-3.830615,0,.26063278,0,.0051712228518768,.0334431468538573,1.777697,.562526,.7326093930709576,1,.0898672347644627,20.96005287946914,0,9.327999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
697,2007,0,0,0,0,.0162794725109292,.0095,.3333333333333333,0,.0000329988156544,3.828641396489095,4.23410650459726,10.98021204144621,0,.0622277437737455,.0060858468876113,28.95,.609,54.75,44.68,0,.0839045994339291,-.0467437519317128,-.0607629399526276,0,.4121749729947222,-3.59865,0,-.53154796,0,-.0635521522060931,-.156074683864862,1.523422,.656417,.523681757938293,1,-.131339243732339,20.71955575497578,0,5.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
697,2008,0,0,0,0,.0407820236211238,.0066,.375,0,.0000329988156544,3.850147601710058,4.394449154672439,11.21183388560851,0,.0807017205115145,.0053835709996454,28.95,.6249,55.56,46.63,0,.0315194376121305,-.0851663749100297,-.0707659007589617,-.004793,.4251892391721597,-3.602043,0,-.017167607,0,-.0791955638718077,-.3012145491681764,1.172984,.852527,.477828721721775,1,-.0588859395422108,20.48108252951604,0,5.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
698,2006,0,0,0,0,.0604560180137299,.0164,.3333333333333333,.1111111111111111,.0000265265766706,3.80666248977032,3.401197381662155,0,0,.0527104782700887,.0111671324468318,33.01,.452,46.69,49.5696,0,.1150221762788011,-.1166076661905388,-.0007846109731329,.402065,2.267864138916791,-3.674584,0,-.048376549,0,.02301925187738,.945579269270818,1.114587,.897193,.6113575771139277,1,.2027067583247857,22.10511198513252,2.1972246,7.95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698,2007,0,0,0,0,.0529515386887409,.012,.3333333333333333,.1111111111111111,.0000265265766706,3.828641396489095,3.737669618283368,0,0,.0338171247035896,.0029120243163856,33.66,.0808,66.99000000000001,36.6232,0,.1403585034138003,-.0218146774746833,.0126005513576491,.355426,.0597031275621303,-3.717203,0,-.11155792,0,.0333889557967313,.6756818287812575,1.619576,.6174460000000001,.6355477197598548,1,.3238538346710519,22.25267845811581,1.0986123,8.178000000000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698,2008,.3171867648535919,.4615003757512615,1.01867572156197,1,.0366251589421162,.01,.25,.125,.0000220394481141,3.850147601710058,3.988984046564275,0,0,.019008277014864,.0032292674034658,33.08,.3815,66.34,57.2552,0,.1129168827576408,-.1738218743930435,.01410454948443,.337017,.0704565218152301,-3.755752,0,-.1177359,0,.0132059713303333,.7477981958179296,1.015525,.984712,.575135286520889,1,.0773969554268511,22.61182388049417,2.5649493,8.26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698,2009,0,0,0,0,.0467978046507624,.0087,.4,.2,.0000220402046256,3.871201010907891,4.189654742026425,0,0,.0166344743247839,.0024503308357366,33.08,.2706,66.92,54.8167,0,.1112611683588831,-.0819254954336374,.0194366303472825,-.10814,.2187016921637782,-3.794335,0,-.25832942,.3171867648535919,.0088684364846913,.2770740768811238,1.354726,.738157,.6027191919231102,1,-.2377823837914028,22.67558507380391,2.0794415,8.462999999999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698,2010,0,0,0,0,.0314338018581106,.0045,.3333333333333333,.2222222222222222,.0000220402046256,3.891820298110626,4.356708826689592,0,0,.0320011267777417,.0104340064740912,33.08,.0626,66.92,35.9059,0,.1453693965276911,.0583283847653678,.0453122357483244,.025327,.2286890497564324,-3.834925,0,-.3277261,0,.0306694561002256,1.085104829277395,1.358176,.736282,.5621326721498108,1,.6609836017296208,22.65092919090987,3.0445225,8.539,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
